k,exit_ok,gamma,kr,tgo,fuel_opt,",fuel_sim",final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
917,1,0.479392617120104,6.14738626893668,666.08293139579,6635.97816777471,6932.99374733483,7.48545597458491e-06,0.00125391268877392,-0.000372710870578885,0.114908497508687,-0.885091502491313,-0.00328577948603302,1.38558729673601e-05
918,1,0.478161892158215,6.14128682704905,662.348012620083,6645.59058489932,6953.50154200795,-1.85520181748638e-06,0.00120551862908634,-0.000350518152117729,0.114319442253454,-0.885680557746546,-0.00329881393790979,1.39986742102281e-05
919,1,0.507125761693869,6.28567220713152,652.21437396836,6624.6507689665,6943.42912114019,-3.62052681868305e-06,0.00112542084379832,-0.00021143420599401,0.128587522917336,-0.871412477082664,-0.00348263349772983,1.47764802419399e-05
920,1,0.505867517989601,6.2793716608838,650.284388178482,6623.06362551421,6954.86847594164,-7.77393543507682e-06,0.00109716443040467,-0.000201160553842783,0.127950936861113,-0.872049063138887,-0.00348714625251102,1.48494214438387e-05
921,1,0.481893905189365,6.15979721998875,662.989927560249,6647.88050543461,6990.15741857034,-7.60526623746029e-06,0.00127180018344999,-0.000380277400836348,0.116110854665285,-0.883889145334715,-0.00331228179097803,1.40136915619705e-05
922,1,0.476881016475632,6.13493947497677,663.905699795853,6639.88438032465,6953.72278441407,-3.09272647045118e-07,0.00120010716274598,-0.000347828958183527,0.113707742811301,-0.886292257188699,-0.00328537242709377,1.39186619851076e-05
923,1,0.482448811446891,6.16254922017451,663.511028295771,6646.47052562905,6956.89871548776,1.30246795241457e-08,0.0012792767734878,-0.000384357059374452,0.116378147853689,-0.883621852146311,-0.00331215709192599,1.39979394170893e-05
924,1,0.478692349444871,6.14391437838864,664.934493536452,6637.50304480686,6966.95852600781,-5.14838111754395e-06,0.00124568300117463,-0.000366649823263287,0.11457304898944,-0.88542695101056,-0.00328833931678699,1.38959239790466e-05
925,1,0.480698719812263,6.15386590544108,662.771743444324,6640.59725550643,6962.493380342,-3.55306450166063e-06,0.00124972901698943,-0.000369353219866753,0.115535607036128,-0.884464392963872,-0.00330802962172579,1.40094169070919e-05
926,1,0.479698922992439,6.14890650803889,665.686269345954,6637.14046270894,6966.73025387439,-1.72817877847867e-06,0.00126241268388819,-0.000375322997570038,0.115055505083031,-0.884944494916969,-0.00328910007600682,1.38758210879598e-05
927,1,0.481879732891904,6.15972415744688,662.176951082612,6644.40775599335,6969.96633705973,-4.74258629200135e-06,0.00126426735245311,-0.0003751867916435,0.116103761703076,-0.883896238296924,-0.00331628250852928,1.40479562001551e-05
928,1,0.506270092882607,6.28138755766125,651.264249494745,6622.95084780705,6910.06113477564,4.57623666177335e-06,0.00109683465125078,-0.000202106079086661,0.128154479169646,-0.871845520830354,-0.00348375987129719,1.48095244338082e-05
929,1,0.508112470194658,6.29062496598137,653.015556076685,6620.01394554797,6939.89330260897,-1.10999885422145e-06,0.00113937875576852,-0.000217732274904847,0.129088817330719,-0.870911182669281,-0.00348292055090694,1.475185856811e-05
930,1,0.507722396048249,6.28866797286841,652.574943163126,6617.78203411035,6927.55792691137,1.04294890010284e-06,0.00112772515807211,-0.000213579507544637,0.128890646960042,-0.871109353039958,-0.00348346907464083,1.47671904909754e-05
931,1,0.486180319919119,6.18108917869859,663.483402021808,6635.25071159796,6938.94493000609,5.61551381018585e-06,0.00133248467542248,-0.00040840613655746,0.118185318862473,-0.881814681137527,-0.00332899044871535,1.40412212871487e-05
932,1,0.483979812089045,6.17015397282002,663.962788575605,6638.86284340575,6944.16278923852,2.57692568594468e-06,0.00130661813777013,-0.000396511983126402,0.117118060323708,-0.882881939676292,-0.00331674468001147,1.39961478395828e-05
933,1,0.507191164933672,6.28600606701115,651.645139562895,6618.5389056342,6948.14195611931,-7.67836408015958e-06,0.00112792553665059,-0.000211626756936312,0.12862129015526,-0.87137870984474,-0.00348598368305881,1.48030932591418e-05
934,1,0.476763107153789,6.13435279433599,664.166940424699,6642.5154083306,6946.08537969458,4.51558921869529e-06,0.00119333995739053,-0.000346736283972859,0.113651270821593,-0.886348729178407,-0.00328355347918261,1.39063847361141e-05
935,1,0.507836161979253,6.28924297456083,652.482052310853,6624.83161902588,6917.00512517405,5.12894940959518e-06,0.00112134148151177,-0.000213752035051584,0.128948860578847,-0.871051139421153,-0.00348449484519475,1.47727460797965e-05
936,1,0.477159443192843,6.13630918596938,665.721449905848,6634.9416891088,6956.06951590444,-1.18591860125312e-06,0.00122720720600739,-0.000358207151293755,0.113839630864002,-0.886160369135998,-0.00327763845397694,1.38459300504113e-05
937,1,0.482229115934532,6.16146422001209,661.995471310782,6637.74843445495,6981.96058150986,-1.15097879413992e-05,0.00127828817898251,-0.000379298580810428,0.116272735607895,-0.883727264392105,-0.00331876114086365,1.40596300714854e-05
938,1,0.481771735834161,6.15918721718229,663.091301814452,6640.56317545187,6955.74345248795,5.17765979123671e-07,0.001262885397423,-0.000376373063772917,0.116051640527269,-0.883948359472731,-0.00331122613599418,1.40080196797669e-05
939,1,0.481068374494825,6.15570014042143,662.108827316678,6644.69797274613,6963.02113669078,-1.42484188577602e-06,0.00124338294759884,-0.000367741333320737,0.115713377042567,-0.884286622957433,-0.00331299532154422,1.40416679912274e-05
940,1,0.474497815811785,6.12314175839389,663.204263179887,6645.05921115416,6945.36969781266,4.26300990254863e-06,0.00115495532326884,-0.000362386461347341,0.112574310843271,-0.887425689156729,-0.00327824368862735,1.39212968904756e-05
941,1,0.481226928059795,6.15648508826274,664.042789241697,6644.88191359362,6986.48597072757,-9.52514863292772e-06,0.00127870813029027,-0.000381916295737028,0.115789486111415,-0.884210513888585,-0.00330405218728187,1.39617771472137e-05
942,1,0.481042509600031,6.15557305897418,661.87311525285,6641.49554533094,6956.69355859041,-5.06858901274537e-06,0.00125050508187046,-0.000368502456694841,0.115701057037334,-0.884298942962666,-0.00331406055930594,1.40513809662883e-05
943,1,0.506847092563363,6.28427771789088,650.959078782864,6620.32814427635,6937.75698193453,-2.34313121449882e-07,0.00109819823450064,-0.000205186894163489,0.128446519803864,-0.871553480196136,-0.00348806161977916,1.48302336223197e-05
944,1,0.507069871436595,6.28540069547938,651.939551078412,6619.12139546095,6915.04030355327,5.20102729766351e-06,0.0011085842285337,-0.000207225326448679,0.128560064309457,-0.871439935690543,-0.00348385123788259,1.47883020041454e-05
945,1,0.506376937271609,6.28192434725355,650.876663583546,6623.88061943244,6946.13834537068,-3.65116272921196e-06,0.00110130796973886,-0.000203827396035194,0.128208699834715,-0.871791300165285,-0.00348633005363576,1.48284344095636e-05
946,1,2.25340779236995,10.006779757546,632.468938641318,6614.70840888996,6912.1813067681,3.46189438607688e-06,0.00115938611001031,-0.000836846185848117,0.39733210642773,-0.60266789357227,-0.00695800491745006,2.50158888236148e-05
947,1,0.4814996988891,6.15783918613057,663.870092794361,6637.04091086007,6935.09688851067,8.23019436665289e-06,0.00125780427464182,-0.000375677132979035,0.115920827749835,-0.884079172250165,-0.00330612938380249,1.3972114454161e-05
948,1,0.480751694225871,6.15412664353218,664.735598537489,6641.03829844872,6958.36148595361,-1.19490440067982e-06,0.00126989152768571,-0.000378412427380681,0.115560870478819,-0.884439129521181,-0.00329849070377604,1.39273520904629e-05
949,1,0.507350749255228,6.28679977258421,652.250212419388,6620.87005740184,6924.74389535222,-6.97383619051046e-07,0.00112681091051374,-0.000211888458579779,0.12870158127444,-0.871298418725559,-0.00348348137617104,1.47775068850953e-05
950,1,0.478139123645797,6.14117115320082,664.127918790991,6642.68346745548,6960.30158466232,-2.47795254270907e-06,0.00122428111480198,-0.000358285149559379,0.114308282823942,-0.885691717176058,-0.00328986901108124,1.39234777782212e-05
951,1,0.480403425282921,6.15239900776573,662.002438627535,6645.31372928497,6954.92867078427,-7.81497112929425e-07,0.00123332543685705,-0.000363010680302978,0.11539351784958,-0.88460648215042,-0.00331055128176878,1.40386489729344e-05
952,1,0.476757503957685,6.13432761334352,664.69460278628,6643.59650228052,6957.30876455064,1.86861152257642e-06,0.00120031681144369,-0.000349715352058411,0.113648847233959,-0.886351152766041,-0.00328092426922702,1.38842575667352e-05
953,1,0.47451287967895,6.12321235400008,664.704234638042,6641.09601892838,6942.11629962683,5.25731149001406e-06,0.00118420130938734,-0.00036963727325201,0.112581079468127,-0.887418920531873,-0.00327090929043366,1.38586979683022e-05
954,1,0.483806495148822,6.16929420292276,663.439860496558,6640.30805353639,6950.66084786353,4.47173031790644e-06,0.00129058353692296,-0.000390830915421247,0.117034313442261,-0.882965686557739,-0.00331858476705902,1.4016266918445e-05
955,1,0.48111505153988,6.15593065997562,666.293157718801,6634.23197091385,6965.8406771393,-6.54691480626694e-06,0.00135146400257699,-0.000394016271457076,0.115735726281153,-0.884264273718847,-0.00329239619356077,1.38663772803233e-05
956,1,0.506994148212678,6.28502095818518,651.780902388258,6619.20346118018,6956.01786548563,-6.90143207349755e-06,0.00112585173479458,-0.000210178783163428,0.128521664511829,-0.871478335488171,-0.00348434901250235,1.47946081809544e-05
957,1,0.479733689368876,6.14907997182233,662.777147928577,6645.09624910891,6941.67875783368,6.27440791978325e-06,0.00122227829806353,-0.000359652796760201,0.11507228390025,-0.88492771609975,-0.00330369306886147,1.39982933240343e-05
958,1,0.481469002076122,6.15768636055545,663.372529741487,6639.66134220479,6991.10946154504,-1.33797470185387e-05,0.00128465314643912,-0.000381668331101537,0.115906001325882,-0.884093998674118,-0.00330847161015077,1.39927346229047e-05
